----------------------------------------------------------------------
Process log
Log file created at : Sun Nov 17 17:48:28 2024
----------------------------------------------------------------------
{'name': 'kernel_task', 'pid': 0, 'username': 'root'} 
{'name': 'dirhelper', 'pid': 141, 'username': 'root'} 
{'name': 'logind', 'pid': 142, 'username': 'root'} 
{'name': 'revisiond', 'pid': 143, 'username': 'root'} 
{'name': 'KernelEventAgent', 'pid': 144, 'username': 'root'} 
{'name': 'usermanagerd', 'pid': 145, 'username': 'root'} 
{'name': 'notifyd', 'pid': 148, 'username': 'root'} 
{'name': 'sandboxd', 'pid': 149, 'username': 'root'} 
{'name': 'corebrightnessd', 'pid': 150, 'username': 'root'} 
{'name': 'AirPlayXPCHelper', 'pid': 151, 'username': 'root'} 
{'name': 'com.apple.cmio.r', 'pid': 152, 'username': 'root'} 
{'name': 'WindowServer', 'pid': 153, 'username': 'root'} 
{'name': 'cfprefsd', 'pid': 154, 'username': 'root'} 
{'name': 'tccd', 'pid': 155, 'username': 'root'} 
{'name': 'aslmanager', 'pid': 156, 'username': 'root'} 
{'name': 'loginwindow', 'pid': 157, 'username': 'root'} 
{'name': 'runningboardd', 'pid': 158, 'username': 'root'} 
{'name': 'lsd', 'pid': 159, 'username': 'root'} 
{'name': 'contextstored', 'pid': 162, 'username': 'root'} 
{'name': 'coreservicesd', 'pid': 164, 'username': 'root'} 
{'name': 'airportd', 'pid': 169, 'username': 'root'} 
{'name': 'analyticsd', 'pid': 187, 'username': '_analyticsd'} 
{'name': 'coreaudiod', 'pid': 188, 'username': '_coreaudiod'} 
{'name': 'backupd-helper', 'pid': 190, 'username': 'root'} 
{'name': 'PowerUIAgent', 'pid': 191, 'username': 'root'} 
{'name': 'mDNSResponder', 'pid': 197, 'username': '_mdnsresponder'} 
{'name': 'trustd', 'pid': 198, 'username': '_trustd'} 
{'name': 'systemstatusd', 'pid': 204, 'username': 'root'} 
{'name': 'csnameddatad', 'pid': 205, 'username': 'root'} 
{'name': 'apfsd', 'pid': 207, 'username': 'root'} 
{'name': 'nsurlsessiond', 'pid': 208, 'username': '_nsurlsessiond'} 
{'name': 'nehelper', 'pid': 209, 'username': 'root'} 
{'name': 'usbd', 'pid': 210, 'username': 'root'} 
{'name': 'biometrickitd', 'pid': 211, 'username': 'root'} 
{'name': 'trustdFileHelper', 'pid': 212, 'username': 'root'} 
{'name': 'hidd', 'pid': 214, 'username': '_hidd'} 
{'name': 'distnoted', 'pid': 215, 'username': 'root'} 
{'name': 'containermanager', 'pid': 216, 'username': 'root'} 
{'name': 'distnoted', 'pid': 220, 'username': '_windowserver'} 
{'name': 'secinitd', 'pid': 223, 'username': 'root'} 
{'name': 'distnoted', 'pid': 225, 'username': '_coreaudiod'} 
{'name': 'cryptexd', 'pid': 226, 'username': 'root'} 
{'name': 'mobileassetd', 'pid': 227, 'username': 'root'} 
{'name': 'com.apple.audio.', 'pid': 231, 'username': '_coreaudiod'} 
{'name': 'AudioComponentRe', 'pid': 235, 'username': 'root'} 
{'name': 'authd', 'pid': 236, 'username': 'root'} 
{'name': 'com.apple.audio.', 'pid': 237, 'username': '_coreaudiod'} 
{'name': 'audioclocksyncd', 'pid': 239, 'username': 'root'} 
{'name': 'PlugInLibrarySer', 'pid': 244, 'username': 'root'} 
{'name': 'symptomsd', 'pid': 245, 'username': '_networkd'} 
{'name': 'findmydeviced', 'pid': 246, 'username': 'root'} 
{'name': 'mDNSResponderHel', 'pid': 252, 'username': 'root'} 
{'name': 'colorsync.displa', 'pid': 253, 'username': 'root'} 
{'name': 'com.apple.ColorS', 'pid': 254, 'username': 'root'} 
{'name': 'colorsyncd', 'pid': 255, 'username': 'root'} 
{'name': 'distnoted', 'pid': 256, 'username': '_cmiodalassistants'} 
{'name': 'sysextd', 'pid': 257, 'username': 'root'} 
{'name': 'logd_helper', 'pid': 260, 'username': 'root'} 
{'name': 'backgroundtaskma', 'pid': 261, 'username': 'root'} 
{'name': 'com.apple.CodeSi', 'pid': 263, 'username': 'root'} 
{'name': 'audioanalyticsd', 'pid': 264, 'username': 'root'} 
{'name': 'ZhuGeService', 'pid': 265, 'username': '_coreaudiod'} 
{'name': 'XProtectPluginSe', 'pid': 285, 'username': 'root'} 
{'name': 'storagekitd', 'pid': 290, 'username': 'root'} 
{'name': 'securityd_system', 'pid': 291, 'username': 'root'} 
{'name': 'appleeventsd', 'pid': 294, 'username': '_appleevents'} 
{'name': 'WirelessRadioMan', 'pid': 295, 'username': 'root'} 
{'name': 'findmybeaconingd', 'pid': 297, 'username': 'root'} 
{'name': 'appleh13camerad', 'pid': 298, 'username': '_cmiodalassistants'} 
{'name': 'cameracaptured', 'pid': 299, 'username': '_cmiodalassistants'} 
{'name': 'distnoted', 'pid': 300, 'username': '_locationd'} 
{'name': 'UVCAssistant', 'pid': 301, 'username': '_cmiodalassistants'} 
{'name': 'backupd', 'pid': 304, 'username': 'root'} 
{'name': 'secinitd', 'pid': 305, 'username': '_locationd'} 
{'name': 'bootinstalld', 'pid': 306, 'username': 'root'} 
{'name': 'PerfPowerTelemet', 'pid': 307, 'username': 'root'} 
{'name': 'cfprefsd', 'pid': 308, 'username': '_locationd'} 
{'name': 'trustd', 'pid': 311, 'username': '_locationd'} 
{'name': 'syspolicyd', 'pid': 315, 'username': 'root'} 
{'name': 'softwareupdated', 'pid': 316, 'username': '_softwareupdate'} 
{'name': 'symptomsd-diag', 'pid': 320, 'username': 'root'} 
{'name': 'distnoted', 'pid': 322, 'username': '_softwareupdate'} 
{'name': 'suhelperd', 'pid': 325, 'username': 'root'} 
{'name': 'distnoted', 'pid': 332, 'username': 'nobody'} 
{'name': 'mds_stores', 'pid': 333, 'username': 'root'} 
{'name': 'rtcreportingd', 'pid': 338, 'username': 'root'} 
{'name': 'iconservicesagen', 'pid': 340, 'username': 'root'} 
{'name': 'com.apple.Driver', 'pid': 341, 'username': '_driverkit'} 
{'name': 'com.apple.AppleU', 'pid': 342, 'username': '_driverkit'} 
{'name': 'wifip2pd', 'pid': 343, 'username': 'root'} 
{'name': 'sharedfilelistd', 'pid': 344, 'username': 'root'} 
{'name': 'distnoted', 'pid': 345, 'username': '_appleevents'} 
{'name': 'com.apple.Accoun', 'pid': 346, 'username': 'root'} 
{'name': 'WiFiCloudAssetsX', 'pid': 347, 'username': 'root'} 
{'name': 'coreauthd', 'pid': 348, 'username': 'root'} 
{'name': 'distnoted', 'pid': 351, 'username': '_spotlight'} 
{'name': 'com.apple.Mobile', 'pid': 352, 'username': 'root'} 
{'name': 'ctkahp', 'pid': 353, 'username': 'root'} 
{'name': 'ctkd', 'pid': 357, 'username': '_ctkd'} 
{'name': 'com.apple.geod', 'pid': 358, 'username': '_cmiodalassistants'} 
{'name': 'secinitd', 'pid': 359, 'username': '_cmiodalassistants'} 
{'name': 'distnoted', 'pid': 360, 'username': '_accessoryupdater'} 
{'name': 'searchpartyd', 'pid': 361, 'username': 'root'} 
{'name': 'cfprefsd', 'pid': 367, 'username': '_cmiodalassistants'} 
{'name': 'trustd', 'pid': 369, 'username': '_cmiodalassistants'} 
{'name': 'containermanager', 'pid': 371, 'username': '_cmiodalassistants'} 
{'name': 'systemsoundserve', 'pid': 372, 'username': 'root'} 
{'name': 'wifianalyticsd', 'pid': 373, 'username': 'root'} 
{'name': 'com.apple.Mobile', 'pid': 375, 'username': 'root'} 
{'name': 'xpcroleaccountd', 'pid': 376, 'username': 'root'} 
{'name': 'countryd', 'pid': 377, 'username': 'root'} 
{'name': 'eligibilityd', 'pid': 378, 'username': 'root'} 
{'name': 'sysmond', 'pid': 382, 'username': 'root'} 
{'name': 'systemstats', 'pid': 383, 'username': 'root'} 
{'name': 'distnoted', 'pid': 384, 'username': '_nsurlsessiond'} 
{'name': 'captiveagent', 'pid': 386, 'username': '_captiveagent'} 
{'name': 'netbiosd', 'pid': 388, 'username': '_netbios'} 
{'name': 'siriinferenced', 'pid': 394, 'username': 'root'} 
{'name': 'distnoted', 'pid': 398, 'username': 'geetahade'} 
{'name': 'cfprefsd', 'pid': 411, 'username': 'geetahade'} 
{'name': 'lsd', 'pid': 412, 'username': 'geetahade'} 
{'name': 'csnameddatad', 'pid': 413, 'username': 'geetahade'} 
{'name': 'secd', 'pid': 414, 'username': 'geetahade'} 
{'name': 'XProtectBridgeSe', 'pid': 416, 'username': 'root'} 
{'name': 'mdbulkimport', 'pid': 427, 'username': '_spotlight'} 
{'name': 'mdbulkimport', 'pid': 428, 'username': 'geetahade'} 
{'name': 'pkd', 'pid': 429, 'username': 'geetahade'} 
{'name': 'trustd', 'pid': 430, 'username': '_spotlight'} 
{'name': 'containermanagerd', 'pid': 431, 'username': 'geetahade'} 
{'name': 'trustd', 'pid': 435, 'username': 'geetahade'} 
{'name': 'GSSCred', 'pid': 437, 'username': 'root'} 
{'name': 'securityd_servic', 'pid': 442, 'username': 'root'} 
{'name': 'nesessionmanager', 'pid': 443, 'username': 'root'} 
{'name': 'corekdld', 'pid': 444, 'username': 'root'} 
{'name': 'TrustedPeersHelper', 'pid': 445, 'username': 'geetahade'} 
{'name': 'UserEventAgent', 'pid': 446, 'username': 'geetahade'} 
{'name': 'gamecontrollerd', 'pid': 447, 'username': '_gamecontrollerd'} 
{'name': 'seld', 'pid': 448, 'username': '_applepay'} 
{'name': 'knowledge-agent', 'pid': 450, 'username': 'geetahade'} 
{'name': 'CoreServicesUIAgent', 'pid': 451, 'username': 'geetahade'} 
{'name': 'universalaccessd', 'pid': 452, 'username': 'geetahade'} 
{'name': 'pboard', 'pid': 453, 'username': 'geetahade'} 
{'name': 'cloudd', 'pid': 454, 'username': 'geetahade'} 
{'name': 'com.apple.sbd', 'pid': 455, 'username': 'geetahade'} 
{'name': 'ContinuityCaptureAgent', 'pid': 456, 'username': 'geetahade'} 
{'name': 'CommCenter', 'pid': 457, 'username': 'geetahade'} 
{'name': 'rapportd', 'pid': 458, 'username': 'geetahade'} 
{'name': 'nsurlsessiond', 'pid': 459, 'username': 'geetahade'} 
{'name': 'APFSUserAgent', 'pid': 460, 'username': 'geetahade'} 
{'name': 'usernoted', 'pid': 461, 'username': 'geetahade'} 
{'name': 'routined', 'pid': 462, 'username': 'geetahade'} 
{'name': 'Preview', 'pid': 464, 'username': 'geetahade'} 
{'name': 'tccd', 'pid': 465, 'username': 'geetahade'} 
{'name': 'talagent', 'pid': 466, 'username': 'geetahade'} 
{'name': 'WindowManager', 'pid': 467, 'username': 'geetahade'} 
{'name': 'secinitd', 'pid': 468, 'username': 'geetahade'} 
{'name': 'ContextStoreAgent', 'pid': 469, 'username': 'geetahade'} 
{'name': 'usernotificationsd', 'pid': 470, 'username': 'geetahade'} 
{'name': 'CoreLocationAgent', 'pid': 471, 'username': 'geetahade'} 
{'name': 'callservicesd', 'pid': 472, 'username': 'geetahade'} 
{'name': 'syncdefaultsd', 'pid': 473, 'username': 'geetahade'} 
{'name': 'accountsd', 'pid': 474, 'username': 'geetahade'} 
{'name': 'identityservicesd', 'pid': 475, 'username': 'geetahade'} 
{'name': 'WiFiAgent', 'pid': 476, 'username': 'geetahade'} 
{'name': 'com.apple.hiservices-xpcservice', 'pid': 477, 'username': 'geetahade'} 
{'name': 'ARDAgent', 'pid': 478, 'username': 'geetahade'} 
{'name': 'fileproviderd', 'pid': 479, 'username': 'geetahade'} 
{'name': 'networkserviceproxy', 'pid': 480, 'username': 'geetahade'} 
{'name': 'Google Chrome', 'pid': 481, 'username': 'geetahade'} 
{'name': 'awdd', 'pid': 482, 'username': 'root'} 
{'name': 'transparencyd', 'pid': 483, 'username': 'geetahade'} 
{'name': 'ctkd', 'pid': 484, 'username': 'geetahade'} 
{'name': 'coreauthd', 'pid': 486, 'username': 'geetahade'} 
{'name': 'sharingd', 'pid': 487, 'username': 'geetahade'} 
{'name': 'donotdisturbd', 'pid': 488, 'username': 'geetahade'} 
{'name': 'deleted', 'pid': 489, 'username': 'geetahade'} 
{'name': 'NotificationCenter', 'pid': 490, 'username': 'geetahade'} 
{'name': 'akd', 'pid': 491, 'username': 'geetahade'} 
{'name': 'Terminal', 'pid': 492, 'username': 'geetahade'} 
{'name': 'Dock', 'pid': 493, 'username': 'geetahade'} 
{'name': 'ControlCenter', 'pid': 494, 'username': 'geetahade'} 
{'name': 'SystemUIServer', 'pid': 495, 'username': 'geetahade'} 
{'name': 'Finder', 'pid': 496, 'username': 'geetahade'} 
{'name': 'chronod', 'pid': 499, 'username': 'geetahade'} 
{'name': 'dmd', 'pid': 500, 'username': 'geetahade'} 
{'name': 'WallpaperAgent', 'pid': 501, 'username': 'geetahade'} 
{'name': 'filecoordination', 'pid': 502, 'username': 'root'} 
{'name': 'imklaunchagent', 'pid': 503, 'username': 'geetahade'} 
{'name': 'siriactionsd', 'pid': 504, 'username': 'geetahade'} 
{'name': 'QuickLookUIService', 'pid': 505, 'username': 'geetahade'} 
{'name': 'familycircled', 'pid': 506, 'username': 'geetahade'} 
{'name': 'ViewBridgeAuxiliary', 'pid': 507, 'username': 'geetahade'} 
{'name': 'bird', 'pid': 508, 'username': 'geetahade'} 
{'name': 'calaccessd', 'pid': 509, 'username': 'geetahade'} 
{'name': 'StatusKitAgent', 'pid': 510, 'username': 'geetahade'} 
{'name': 'automountd', 'pid': 511, 'username': 'root'} 
{'name': 'sharedfilelistd', 'pid': 512, 'username': 'geetahade'} 
{'name': 'AMPDeviceDiscoveryAgent', 'pid': 513, 'username': 'geetahade'} 
{'name': 'idleassetsd', 'pid': 514, 'username': 'root'} 
{'name': 'fontd', 'pid': 516, 'username': 'geetahade'} 
{'name': 'iconservicesagent', 'pid': 517, 'username': 'geetahade'} 
{'name': 'replayd', 'pid': 519, 'username': 'geetahade'} 
{'name': 'sociallayerd', 'pid': 520, 'username': 'geetahade'} 
{'name': 'suggestd', 'pid': 521, 'username': 'geetahade'} 
{'name': 'localizationswitcherd', 'pid': 522, 'username': 'geetahade'} 
{'name': 'heard', 'pid': 523, 'username': 'geetahade'} 
{'name': 'fontworker', 'pid': 524, 'username': 'geetahade'} 
{'name': 'intelligentroutingd', 'pid': 525, 'username': 'geetahade'} 
{'name': 'wallpaperexportd', 'pid': 526, 'username': 'root'} 
{'name': 'extensionkitservice', 'pid': 528, 'username': 'geetahade'} 
{'name': 'extensionkitservice', 'pid': 529, 'username': 'geetahade'} 
{'name': 'nearbyd', 'pid': 530, 'username': '_nearbyd'} 
{'name': 'mobiletimerd', 'pid': 531, 'username': 'geetahade'} 
{'name': 'adid', 'pid': 532, 'username': '_fpsd'} 
{'name': 'AudioComponentRegistrar', 'pid': 533, 'username': 'geetahade'} 
{'name': 'com.apple.FaceTime.FTConversationService', 'pid': 534, 'username': 'geetahade'} 
{'name': 'imagent', 'pid': 535, 'username': 'geetahade'} 
{'name': 'ContextService', 'pid': 536, 'username': 'geetahade'} 
{'name': 'CalendarWidgetExtension', 'pid': 537, 'username': 'geetahade'} 
{'name': 'Spotlight', 'pid': 538, 'username': 'geetahade'} 
{'name': 'com.apple.quicklook.ThumbnailsAgent', 'pid': 539, 'username': 'geetahade'} 
{'name': 'cdpd', 'pid': 540, 'username': 'geetahade'} 
{'name': 'CarbonComponentScannerXPC', 'pid': 541, 'username': 'geetahade'} 
{'name': 'oahd', 'pid': 542, 'username': '_oahd'} 
{'name': 'corespotlightd', 'pid': 543, 'username': 'geetahade'} 
{'name': 'CursorUIViewService', 'pid': 544, 'username': 'geetahade'} 
{'name': 'iCloudNotificationAgent', 'pid': 545, 'username': 'geetahade'} 
{'name': 'pbs', 'pid': 546, 'username': 'geetahade'} 
{'name': 'parsecd', 'pid': 547, 'username': 'geetahade'} 
{'name': 'AppSSOAgent', 'pid': 548, 'username': 'geetahade'} 
{'name': 'homed', 'pid': 549, 'username': 'geetahade'} 
{'name': 'WallpaperVideoExtension', 'pid': 550, 'username': 'geetahade'} 
{'name': 'WeatherWidget', 'pid': 551, 'username': 'geetahade'} 
{'name': 'com.apple.geod', 'pid': 552, 'username': 'geetahade'} 
{'name': 'AppSSODaemon', 'pid': 553, 'username': 'root'} 
{'name': 'gamepolicyd', 'pid': 554, 'username': 'root'} 
{'name': 'chrome_crashpad_handler', 'pid': 556, 'username': 'geetahade'} 
{'name': 'contactsd', 'pid': 557, 'username': 'geetahade'} 
{'name': 'IMDPersistenceAgent', 'pid': 558, 'username': 'geetahade'} 
{'name': 'useractivityd', 'pid': 559, 'username': 'geetahade'} 
{'name': 'com.apple.dock.extra', 'pid': 560, 'username': 'geetahade'} 
{'name': 'PAH_Extension', 'pid': 561, 'username': 'geetahade'} 
{'name': 'ScreenTimeWidgetExtension', 'pid': 562, 'username': 'geetahade'} 
{'name': 'StocksWidget', 'pid': 564, 'username': 'geetahade'} 
{'name': 'ScreenTimeAgent', 'pid': 566, 'username': 'geetahade'} 
{'name': 'mediaremoteagent', 'pid': 567, 'username': 'geetahade'} 
{'name': 'WorldClockWidget', 'pid': 568, 'username': 'geetahade'} 
{'name': 'avconferenced', 'pid': 569, 'username': 'geetahade'} 
{'name': 'followupd', 'pid': 570, 'username': 'geetahade'} 
{'name': 'CallHistoryPluginHelper', 'pid': 571, 'username': 'geetahade'} 
{'name': 'ManagedSettingsAgent', 'pid': 572, 'username': 'geetahade'} 
{'name': 'neagent', 'pid': 573, 'username': 'geetahade'} 
{'name': 'WiFiVelocityAgent', 'pid': 574, 'username': 'geetahade'} 
{'name': 'Google Chrome Helper (GPU)', 'pid': 575, 'username': 'geetahade'} 
{'name': 'Google Chrome Helper', 'pid': 576, 'username': 'geetahade'} 
{'name': 'fmfd', 'pid': 577, 'username': 'geetahade'} 
{'name': 'VTDecoderXPCService', 'pid': 578, 'username': 'geetahade'} 
{'name': 'commerce', 'pid': 579, 'username': 'geetahade'} 
{'name': 'UIKitSystem', 'pid': 580, 'username': 'geetahade'} 
{'name': 'findmylocateagent', 'pid': 583, 'username': 'geetahade'} 
{'name': 'extensionkitservice', 'pid': 584, 'username': 'geetahade'} 
{'name': 'com.apple.CloudDocs.iCloudDriveFileProvider', 'pid': 585, 'username': 'geetahade'} 
{'name': 'ContainerMetadataExtractor', 'pid': 586, 'username': 'geetahade'} 
{'name': 'triald', 'pid': 587, 'username': 'geetahade'} 
{'name': 'itunescloudd', 'pid': 590, 'username': 'geetahade'} 
{'name': 'amsaccountsd', 'pid': 591, 'username': 'geetahade'} 
{'name': 'amsengagementd', 'pid': 592, 'username': 'geetahade'} 
{'name': 'PlugInLibraryService', 'pid': 593, 'username': 'geetahade'} 
{'name': 'assistantd', 'pid': 594, 'username': 'geetahade'} 
{'name': 'ScopedBookmarkAgent', 'pid': 595, 'username': 'geetahade'} 
{'name': 'swcd', 'pid': 596, 'username': 'geetahade'} 
{'name': 'assistant_cdmd', 'pid': 598, 'username': 'geetahade'} 
{'name': 'sirittsd', 'pid': 600, 'username': 'geetahade'} 
{'name': 'siriknowledged', 'pid': 601, 'username': 'geetahade'} 
{'name': 'corespeechd', 'pid': 602, 'username': 'geetahade'} 
{'name': 'BiomeAgent', 'pid': 604, 'username': 'geetahade'} 
{'name': 'diagnosticextensionsd', 'pid': 605, 'username': 'geetahade'} 
{'name': 'UsageTrackingAgent', 'pid': 606, 'username': 'geetahade'} 
{'name': 'maild', 'pid': 607, 'username': 'geetahade'} 
{'name': 'ndoagent', 'pid': 608, 'username': 'geetahade'} 
{'name': 'financed', 'pid': 609, 'username': 'geetahade'} 
{'name': 'CMFSyncAgent', 'pid': 610, 'username': 'geetahade'} 
{'name': 'Google Chrome Helper', 'pid': 611, 'username': 'geetahade'} 
{'name': 'SSMenuAgent', 'pid': 612, 'username': 'geetahade'} 
{'name': 'osanalyticshelpe', 'pid': 613, 'username': 'root'} 
{'name': 'photolibraryd', 'pid': 614, 'username': 'geetahade'} 
{'name': 'mdwrite', 'pid': 615, 'username': 'geetahade'} 
{'name': 'axassetsd', 'pid': 618, 'username': 'geetahade'} 
{'name': 'Siri', 'pid': 622, 'username': 'geetahade'} 
{'name': 'icdd', 'pid': 623, 'username': 'geetahade'} 
{'name': 'askpermissiond', 'pid': 624, 'username': 'geetahade'} 
{'name': 'AirPlayUIAgent', 'pid': 626, 'username': 'geetahade'} 
{'name': 'audioaccessoryd', 'pid': 627, 'username': 'geetahade'} 
{'name': 'diagnostics_agent', 'pid': 628, 'username': 'geetahade'} 
{'name': 'TextInputMenuAgent', 'pid': 629, 'username': 'geetahade'} 
{'name': 'remindd', 'pid': 630, 'username': 'geetahade'} 
{'name': 'ctkahp', 'pid': 633, 'username': 'geetahade'} 
{'name': 'SafariLaunchAgent', 'pid': 634, 'username': 'geetahade'} 
{'name': 'fairplayd', 'pid': 635, 'username': '_fpsd'} 
{'name': 'TextInputSwitcher', 'pid': 636, 'username': 'geetahade'} 
{'name': 'mobileactivation', 'pid': 637, 'username': 'root'} 
{'name': 'deleted_helper', 'pid': 638, 'username': 'root'} 
{'name': 'aneuserd', 'pid': 640, 'username': '_neuralengine'} 
{'name': 'geodMachServiceBridge', 'pid': 641, 'username': 'geetahade'} 
{'name': 'installd', 'pid': 642, 'username': 'root'} 
{'name': 'aned', 'pid': 643, 'username': 'root'} 
{'name': 'storedownloadd', 'pid': 644, 'username': 'geetahade'} 
{'name': 'appstoreagent', 'pid': 645, 'username': 'geetahade'} 
{'name': 'system_installd', 'pid': 646, 'username': 'root'} 
{'name': 'cloudd', 'pid': 647, 'username': 'root'} 
{'name': 'coresymbolicatio', 'pid': 648, 'username': 'root'} 
{'name': 'spindump', 'pid': 650, 'username': 'root'} 
{'name': 'installcoordinat', 'pid': 652, 'username': '_installcoordinationd'} 
{'name': 'spindump_agent', 'pid': 653, 'username': 'geetahade'} 
{'name': 'SubmitDiagInfo', 'pid': 654, 'username': 'root'} 
{'name': 'com.apple.AppSto', 'pid': 656, 'username': 'root'} 
{'name': 'mapssyncd', 'pid': 659, 'username': 'geetahade'} 
{'name': 'Keychain Circle Notification', 'pid': 660, 'username': 'geetahade'} 
{'name': 'ProtectedCloudKeySyncing', 'pid': 662, 'username': 'geetahade'} 
{'name': 'progressd', 'pid': 664, 'username': 'geetahade'} 
{'name': 'com.apple.hiserv', 'pid': 665, 'username': 'root'} 
{'name': 'nfcd', 'pid': 666, 'username': '_applepay'} 
{'name': 'distnoted', 'pid': 667, 'username': '_gamecontrollerd'} 
{'name': 'gamecontrolleragentd', 'pid': 668, 'username': 'geetahade'} 
{'name': 'com.apple.appkit.xpc.openAndSavePanelService', 'pid': 669, 'username': 'geetahade'} 
{'name': 'QuickLookUIService', 'pid': 670, 'username': 'geetahade'} 
{'name': 'contentlinkingd', 'pid': 678, 'username': 'geetahade'} 
{'name': 'promotedcontentd', 'pid': 680, 'username': 'geetahade'} 
{'name': 'lockdownmoded', 'pid': 682, 'username': 'geetahade'} 
{'name': 'distnoted', 'pid': 683, 'username': '_applepay'} 
{'name': 'wifivelocityd', 'pid': 689, 'username': 'root'} 
{'name': 'com.apple.siri-distributed-evaluation', 'pid': 695, 'username': 'geetahade'} 
{'name': 'mlruntimed', 'pid': 696, 'username': 'geetahade'} 
{'name': 'biomesyncd', 'pid': 698, 'username': 'geetahade'} 
{'name': 'bluetoothd', 'pid': 699, 'username': 'root'} 
{'name': 'ReportCrash', 'pid': 700, 'username': 'root'} 
{'name': 'bluetoothuserd', 'pid': 701, 'username': 'geetahade'} 
{'name': 'ReportCrash', 'pid': 706, 'username': 'geetahade'} 
{'name': 'adprivacyd', 'pid': 707, 'username': 'geetahade'} 
{'name': 'mscamerad-xpc', 'pid': 708, 'username': 'geetahade'} 
{'name': 'ptpcamerad', 'pid': 709, 'username': 'geetahade'} 
{'name': 'AssetCacheLocatorService', 'pid': 713, 'username': 'geetahade'} 
{'name': 'photoanalysisd', 'pid': 717, 'username': 'geetahade'} 
{'name': 'IntelligencePlatformComputeService', 'pid': 719, 'username': 'geetahade'} 
{'name': 'seserviced', 'pid': 721, 'username': 'geetahade'} 
{'name': 'cloudphotod', 'pid': 725, 'username': 'geetahade'} 
{'name': 'XProtectPluginService', 'pid': 726, 'username': 'geetahade'} 
{'name': 'SoftwareUpdateNotificationManager', 'pid': 727, 'username': 'geetahade'} 
{'name': 'triald_system', 'pid': 729, 'username': 'root'} 
{'name': 'weatherd', 'pid': 730, 'username': 'geetahade'} 
{'name': 'SetStoreUpdateService', 'pid': 731, 'username': 'geetahade'} 
{'name': 'com.apple.audio.ComponentTagHelper', 'pid': 732, 'username': 'geetahade'} 
{'name': 'CrashReporterSup', 'pid': 733, 'username': 'root'} 
{'name': 'WardaSynthesizer_arm64', 'pid': 734, 'username': 'geetahade'} 
{'name': 'KonaSynthesizer', 'pid': 735, 'username': 'geetahade'} 
{'name': 'installerauthagent', 'pid': 736, 'username': 'geetahade'} 
{'name': 'SiriAUSP', 'pid': 737, 'username': 'geetahade'} 
{'name': 'com.apple.audio.SandboxHelper', 'pid': 738, 'username': 'geetahade'} 
{'name': 'NRDUpdated', 'pid': 739, 'username': '_softwareupdate'} 
{'name': 'MauiAUSP', 'pid': 740, 'username': 'geetahade'} 
{'name': 'com.apple.audio.SandboxHelper', 'pid': 741, 'username': 'geetahade'} 
{'name': 'com.apple.audio.SandboxHelper', 'pid': 742, 'username': 'geetahade'} 
{'name': 'MacinTalkAUSP', 'pid': 743, 'username': 'geetahade'} 
